GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
IDN,ACOF,4372535.329080049,4429502.77076658,4466824.372421022,4590915.830789466,4543482.30541837,4641682.594405164,142744.50094365806,142744.50094365806,142744.50094365806,142744.50094365806,142744.50094365806,142744.50094365806,30.63,31.03,31.29,32.16,31.83,32.52
IND,ACOF,44586.06364773552,42193.39996116477,39968.30324228859,40106.776968621074,39583.83559064217,38329.85028098146,6579.295936378495,6579.295936378495,6579.295936378495,6579.295936378495,6579.295936378495,6579.295936378495,6.777,6.413,6.075,6.096,6.016,5.826
JAM,ACOF,42061.7028646284,38969.71166112266,35611.02323967563,34235.44550582841,31688.515924691106,51257.03737535483,3990.607533891808,3990.607533891808,3990.607533891808,3990.607533891808,3990.607533891808,3990.607533891808,10.54,9.765,8.924,8.579,7.941,12.84
KEN,ACOF,43261.02986218311,41874.91772289432,41304.59863773552,42654.20365516194,44220.159776151835,45789.319742905296,14285.515039477192,14285.515039477192,14285.515039477192,14285.515039477192,14285.515039477192,14285.515039477192,3.028,2.931,2.891,2.986,3.095,3.205
KHM,ACOF,1192.1566264861792,1222.343912303062,1159.5099096383863,1086.771434788236,1024.0465796875005,981.8693303908912,95.96826044011846,95.96826044011846,95.96826044011846,95.96826044011846,95.96826044011846,95.96826044011846,12.42,12.74,12.08,11.32,10.67,10.23
LAO,ACOF,2395.5846468077534,2420.903813316435,2463.9190162272075,2559.9705620551536,2575.848391853391,2537.53086278974,200.56577396088505,200.56577396088505,200.56577396088505,200.56577396088505,200.56577396088505,200.56577396088505,11.94,12.07,12.28,12.76,12.84,12.65
MEX,ACOF,2170640.2538657566,2177214.0948910066,2157085.3188575334,2154744.679681885,2191584.77972603,2180655.0376990284,79522.135524116,79522.135524116,79522.135524116,79522.135524116,79522.135524116,79522.135524116,27.3,27.38,27.13,27.1,27.56,27.42
MMR,ACOF,192608.48789851673,191616.1935842118,186403.56221012675,183408.829716014,177380.358034877,168176.53880269267,4075.0904582974954,4075.0904582974954,4075.0904582974954,4075.0904582974954,4075.0904582974954,4075.0904582974954,47.26,47.02,45.74,45.01,43.53,41.27
MOZ,ACOF,7321.970982344384,7628.458692508146,7750.531355656944,8005.369206804663,8237.456415378048,8202.217946453551,601.6419151373921,601.6419151373921,601.6419151373921,601.6419151373921,601.6419151373921,601.6419151373921,12.17,12.68,12.88,13.31,13.69,13.63
MWI,ACOF,12311.6355954149,13330.606344877775,13680.534878059954,14837.365662519484,15655.187355458724,16534.468676365286,6880.806077970429,6880.806077970429,6880.806077970429,6880.806077970429,6880.806077970429,6880.806077970429,1.789,1.937,1.988,2.156,2.275,2.403
NAM,ACOF,0,0,0,0,0,0,2.67652078939743e-4,2.67652078939743e-4,2.67652078939743e-4,2.67652078939743e-4,2.67652078939743e-4,2.67652078939743e-4,0,0,0,0,0,0
NGA,ACOF,39.9645999534541,37.554624549711434,39.205840482892484,53.99957697253511,74.006705562071,83.19296818293424,6.629505201351383,6.629505201351383,6.629505201351383,6.629505201351383,6.629505201351383,6.629505201351383,6.028,5.665,5.914,8.145,11.16,12.55
NIC,ACOF,698769.6276141118,688353.9013648889,684022.500377523,704695.8726272931,724670.5337129442,698356.0489245249,145472.4681040371,145472.4681040371,145472.4681040371,145472.4681040371,145472.4681040371,145472.4681040371,4.803,4.732,4.702,4.844,4.981,4.801
NPL,ACOF,619.0704435052705,669.2314775783872,628.115997535462,610.0262493140175,643.3058202850924,627.0791123784267,46.080866439808034,46.080866439808034,46.080866439808034,46.080866439808034,46.080866439808034,46.080866439808034,13.43,14.52,13.63,13.24,13.96,13.61
