GID_0,commodity,gas_type,year,LD_emissions,production_mt,area__ha,EF
BOL,SOYB,CO2,2020,10120505.55837965,2933430.53228947,1396769.71672005,3.450058028297962
BOL,SOYB,CO2,2021,9692253.85623269,2552052.480499739,1204686.126502515,3.7978270158201326
BOL,SOYB,CO2,2022,17062877.1819284,4855367.82805461,2315979.22831243,3.5142295673950925
BOL,SOYB,CO2,2023,14189457.747845,3648203.9727965,1729852.84018031,3.889436515515932
BOL,SOYB,CO2,2024,7677097.8371226005,1663678.7145415,799985.74043209,4.614531501798028
BOL,SOYB,CO2e,2020,10152055.84485921,2933430.53228947,1396769.71672005,3.460813451387847
BOL,SOYB,CO2e,2021,9720691.84562956,2552052.480499739,1204686.126502515,3.8089701994396563
BOL,SOYB,CO2e,2022,17110241.562401902,4855367.82805461,2315979.22831243,3.5239846224497944
BOL,SOYB,CO2e,2023,14230897.0681582,3648203.9727965,1729852.84018031,3.900795343208188
BOL,SOYB,CO2e,2024,7701066.584435401,1663678.7145415,799985.74043209,4.628938578779478
BOL,SOYB,N2O,2020,25586.483772368,2933430.53228947,1396769.71672005,0.008722375897682629
BOL,SOYB,N2O,2021,21742.440791426,2552052.480499739,1204686.126502515,0.008519589999641556
BOL,SOYB,N2O,2022,35467.944987514,4855367.82805461,2315979.22831243,0.007304893520646997
BOL,SOYB,N2O,2023,26851.085653813,3648203.9727965,1729852.84018031,0.007360083442163055
BOL,SOYB,N2O,2024,13942.244193773,1663678.7145415,799985.74043209,0.008380370603957268
BRA,SOYB,CH4,2020,104166.45888133,148348577.3768829,44392752.73827825,7.021736286468913e-4
BRA,SOYB,CH4,2021,136172.195484242,169869315.75268903,50057035.16524809,8.016291516856033e-4
BRA,SOYB,CH4,2022,157180.970865092,173653286.78961295,51013869.890018485,9.051425041872214e-4
BRA,SOYB,CH4,2023,180650.985323215,191468882.46717343,55153693.835475236,9.435004946779635e-4
BRA,SOYB,CH4,2024,147039.074488691,182644175.57743695,53271288.524049655,8.050575608218604e-4
BRA,SOYB,CO2,2020,55530614.00474895,148348577.3768829,44392752.73827825,0.37432522095356646
BRA,SOYB,CO2,2021,61045928.732680745,169869315.75268903,50057035.16524809,0.35936995720614356
BRA,SOYB,CO2,2022,65708520.210310906,173653286.78961295,51013869.890018485,0.3783891536122727
BRA,SOYB,CO2,2023,72734093.4871637,191468882.46717343,55153693.835475236,0.3798742257746956
BRA,SOYB,CO2,2024,62761896.76907294,182644175.57743695,53271288.524049655,0.34362933595144035
BRA,SOYB,CO2e,2020,55856978.67892072,148348577.3768829,44392752.73827825,0.3765252061502067
BRA,SOYB,CO2e,2021,61400454.65729241,169869315.75268903,50057035.16524809,0.36145700820202686
BRA,SOYB,CO2e,2022,66073303.95085655,173653286.78961295,51013869.890018485,0.38048979764435253
BRA,SOYB,CO2e,2023,73116683.6951391,191468882.46717343,55153693.835475236,0.3818724105608892
BRA,SOYB,CO2e,2024,63068760.7947228,182644175.57743695,53271288.524049655,0.3453094553676752
BRA,SOYB,N2O,2020,222198.215201763,148348577.3768829,44392752.73827825,0.0014978115673955094
BRA,SOYB,N2O,2021,218353.729340483,169869315.75268903,50057035.16524809,0.0012854218454519586
BRA,SOYB,N2O,2022,207602.770522539,173653286.78961295,51013869.890018485,0.001195501532741255
BRA,SOYB,N2O,2023,201939.223404593,191468882.46717343,55153693.835475236,0.001054684295445317
BRA,SOYB,N2O,2024,159824.950815248,182644175.57743695,53271288.524049655,8.750618535190349e-4
PRY,SOYB,CH4,2020,14170.702224390001,7140926.151332368,2356763.347409905,0.0019844347811587442
PRY,SOYB,CH4,2021,17992.897957587,7801891.807980241,2581240.685403047,0.002306222439432291
PRY,SOYB,CH4,2022,17131.288936042998,7633679.240542317,2527890.329978563,0.002244171964294631
PRY,SOYB,CH4,2023,15792.716646112,7673341.671381879,2544910.043489481,0.002058127647959656
PRY,SOYB,CH4,2024,16258.203284975,8212201.622885139,2718456.303034399,0.0019797618265567024
PRY,SOYB,CO2,2020,4091921.218955794,7140926.151332368,2356763.347409905,0.5730238812499574
PRY,SOYB,CO2,2021,4660140.521330684,7801891.807980241,2581240.685403047,0.5973090419639009
PRY,SOYB,CO2,2022,4039540.171200389,7633679.240542317,2527890.329978563,0.5291734226592169
PRY,SOYB,CO2,2023,4081178.354354984,7673341.671381879,2544910.043489481,0.5318645420906967
PRY,SOYB,CO2,2024,3542372.737900637,8212201.622885139,2718456.303034399,0.43135481818042826
PRY,SOYB,CO2e,2020,4122829.59861178,7140926.151332368,2356763.347409905,0.5773522245209796
PRY,SOYB,CO2e,2021,4696207.397610334,7801891.807980241,2581240.685403047,0.6019318792407211
PRY,SOYB,CO2e,2022,4071659.726505676,7633679.240542317,2527890.329978563,0.5333810339948754
PRY,SOYB,CO2e,2023,4110565.043725521,7673341.671381879,2544910.043489481,0.5356942541808198
PRY,SOYB,CO2e,2024,3570445.659687311,8212201.622885139,2718456.303034399,0.4347732585787305
PRY,SOYB,N2O,2020,16737.677243723,7140926.151332368,2356763.347409905,0.0023439084635541356
PRY,SOYB,N2O,2021,18073.978499481,7801891.807980241,2581240.685403047,0.002316614860128393
PRY,SOYB,N2O,2022,14988.266533281,7633679.240542317,2527890.329978563,0.0019634393928524814
PRY,SOYB,N2O,2023,13593.972702705,7673341.671381879,2544910.043489481,0.0017715844393329204
PRY,SOYB,N2O,2024,11814.71870716,8212201.622885139,2718456.303034399,0.0014386785967645558
URY,SOYB,CH4,2020,436.092525133,2497495.380145428,1109610.182993122,1.7461194467058695e-4
URY,SOYB,CH4,2021,301.845157598,2280490.093871628,995900.701323262,1.3235977582588495e-4
URY,SOYB,CH4,2022,315.669314179,2787496.646929483,1220530.477400986,1.1324473323643991e-4
URY,SOYB,CH4,2023,709.816552975,3798299.221963757,1684556.422597682,1.8687747107191258e-4
URY,SOYB,CH4,2024,725.941571933,3855474.126219109,1724572.303117061,1.8828853421586786e-4
URY,SOYB,CO2,2020,95088.596254428,2497495.380145428,1109610.182993122,0.038073582441978754
URY,SOYB,CO2,2021,50149.536127021,2280490.093871628,995900.701323262,0.02199068360866293
URY,SOYB,CO2,2022,83024.77132766,2787496.646929483,1220530.477400986,0.029784707156191362
URY,SOYB,CO2,2023,526015.905775202,3798299.221963757,1684556.422597682,0.13848722152628268
URY,SOYB,CO2,2024,126594.716461802,3855474.126219109,1724572.303117061,0.03283505797663017
URY,SOYB,CO2e,2020,95899.02726586,2497495.380145428,1109610.182993122,0.03839807994370578
URY,SOYB,CO2e,2021,50712.010930971,2280490.093871628,995900.701323262,0.02223733006657193
URY,SOYB,CO2e,2022,83590.953685284,2787496.646929483,1220530.477400986,0.029987822147647107
URY,SOYB,CO2e,2023,527152.808411519,3798299.221963757,1684556.422597682,0.138786540397672
URY,SOYB,CO2e,2024,127742.45004233801,3855474.126219109,1724572.303117061,0.03313274732506357
URY,SOYB,N2O,2020,374.33846964599996,2497495.380145428,1109610.182993122,1.4988555038856666e-4
URY,SOYB,N2O,2021,260.629647587,2280490.093871628,995900.701323262,1.1428668262466534e-4
URY,SOYB,N2O,2022,250.513036234,2787496.646929483,1220530.477400986,8.987025563239624e-5
URY,SOYB,N2O,2023,427.086026022,3798299.221963757,1684556.422597682,1.1244138522640995e-4
URY,SOYB,N2O,2024,421.791995529,3855474.126219109,1724572.303117061,1.0940081082650982e-4
