GID_0,GID_1,commodity,area__ha,yield_mt_ha,production_mt,LD_2020_CO2e,LD_2021_CO2e,LD_2022_CO2e,LD_2023_CO2e,LD_2024_CO2e,LD_2020_CO2,LD_2021_CO2,LD_2022_CO2,LD_2023_CO2,LD_2024_CO2,LD_2020_CH4,LD_2021_CH4,LD_2022_CH4,LD_2023_CH4,LD_2024_CH4,LD_2020_N2O,LD_2021_N2O,LD_2022_N2O,LD_2023_N2O,LD_2024_N2O,EF_2020_CO2e,EF_2020_CO2,EF_2020_CH4,EF_2020_N2O,EF_2021_CO2e,EF_2021_CO2,EF_2021_CH4,EF_2021_N2O,EF_2022_CO2e,EF_2022_CO2,EF_2022_CH4,EF_2022_N2O,EF_2023_CO2e,EF_2023_CO2,EF_2023_CH4,EF_2023_N2O,EF_2024_CO2e,EF_2024_CO2,EF_2024_CH4,EF_2024_N2O
CAF,CAF.7_1,OILP,2192.538785,7.850670623,17212.89983,15994.53428,14725.84754,13596.87321,12403.9639,11248.102,15968.66874,14702.04245,13575.06029,12384.15276,11230.23817,0.490189756,0.426342206,0.376273724,0.329800583,0.286922782,25.37534643,23.3787501,21.43664571,19.48133936,17.57691443,0.929217879,0.927715196,2.84780461426871e-05,0.001474205,0.855512301,0.854129322,2.47687612599011e-05,0.001358211,0.78992345,0.788656207,2.18599845473006e-05,0.001245383,0.720620234,0.719469287,1.91600826089617e-05,0.001131787,0.653469323,0.652431506,1.66690554448845e-05,0.001021148
CIV,CIV.1_1,OILP,8387.092299,6.657152103,55834.14914,151837.3894,152344.4227,146826.4658,142938.2526,138660.1048,151797.4729,152307.4898,146792.2885,142906.7282,138631.781,12.96697167,11.83970983,10.91322001,10.12580034,9.092341511,26.94958485,25.09320529,23.264103,21.398544,19.23153247,2.719435897,2.718720984,0.000232241,0.000482672,2.728516957,2.727855482,0.000212051,0.000449424,2.629689323,2.629077201,0.000195458,0.000416664,2.5600507,2.559486093,0.000181355,0.000383252,2.483428278,2.482920992,0.000162846,0.00034444
CIV,CIV.6_1,OILP,1609.776449,5.904581264,9505.055863,22747.94678,21708.63845,20535.66691,20123.99893,19072.99553,22712.21966,21675.42722,20504.95298,20095.71455,19047.28198,0,0,0,0,0,35.72712301,33.21123221,30.71392986,28.2843801,25.71354464,2.393247037,2.389488288,0,0.003758749,2.283904352,2.280410292,0,0.00349406,2.160499339,2.157268013,0,0.003231326,2.117188918,2.114213198,0,0.00297572,2.006615827,2.003910578,0,0.002705249
CIV,CIV.7_1,OILP,38835.72305,6.439442756,250080.4155,480036.3029,487240.4278,486683.9426,486086.8535,475991.7801,479779.1901,487001.972,486465.2568,485883.0551,475810.5342,52.61917595,48.63322498,44.77863704,44.51115657,39.25721993,204.4936391,189.8225486,173.9071499,159.2871745,141.9886953,1.919527773,1.918499652,0.000210409,0.000817712,1.948335006,1.94738149,0.00019447,0.000759046,1.946109781,1.945235319,0.000179057,0.000695405,1.943722193,1.942907261,0.000177987,0.000636944,1.903354884,1.902630133,0.000156978,0.000567772
CIV,CIV.3_1,OILP,159696.1638,6.414923124,1024438.614,1878553.878,1919998.632,1923504.089,1927928.056,1907282.136,1877384.503,1918931.485,1922532.387,1927060.299,1906511.736,124.8629112,111.7062228,107.9124202,95.49963013,90.82040312,1044.512363,955.4411063,863.7892226,772.2577668,679.5802611,1.833739818,1.832598339,0.000121884,0.001019595,1.874195882,1.873154192,0.000109041,0.000932648,1.877617714,1.876669193,0.000105338,0.000843183,1.881936145,1.881089089,9.32214276297777e-05,0.000753835,1.861782746,1.861030724,8.86538264599195e-05,0.000663368
CIV,CIV.11_1,OILP,36.3774707,6.642673605,241.6436645,85.42789435,106.7075403,182.8667988,334.8609562,412.5453975,85.37068627,106.6522374,182.815338,334.8133375,412.501621,0,0,0,0,0,0.057208085,0.055302905,0.051460762,0.047618618,0.043776475,0.353528385,0.353291639,0,0.000236746,0.441590474,0.441361612,0,0.000228861,0.756762232,0.75654927,0,0.000212961,1.385763442,1.385566381,0,0.000197061,1.707246902,1.707065741,0,0.000181161
CIV,CIV.2_1,OILP,131427.4143,6.703299155,880997.275,1218600.954,1244940.581,1249507.58,1277685.973,1279588.216,1217398.936,1243814.243,1248451.419,1276700.226,1278700.847,336.8698118,316.5540574,299.2278899,285.2458186,257.3832972,865.1476844,809.7840288,756.9331675,700.500485,629.9854956,1.383206269,1.381841886,0.000382373,0.000982009,1.413103782,1.411825301,0.000359313,0.000919167,1.418287678,1.417088854,0.000339647,0.000859178,1.450272332,1.449153434,0.000323776,0.000795122,1.452431525,1.451424293,0.00029215,0.000715082
CIV,CIV.8_1,OILP,660.7915488,6.310087191,4169.652288,5431.727094,5587.617976,5938.199014,5923.707259,6036.942052,5426.734833,5582.930723,5931.64516,5917.605763,6031.356914,0,0,1.643330636,1.55905727,1.474783904,4.992260418,4.687252227,4.910524036,4.5424387,4.110354845,1.302681068,1.301483783,0,0.001197285,1.34006809,1.338943955,0,0.001124135,1.424147292,1.422575493,0.000394117,0.001177682,1.420671761,1.419208451,0.000373906,0.001089405,1.447828652,1.446489179,0.000353695,0.000985779
CIV,CIV.5_1,OILP,75666.4159,6.427024253,486309.8902,559923.6497,571149.9294,588556.3269,597708.539,599190.4221,559406.5932,570667.2998,588108.2553,597297.1408,598818.633,8.403568458,7.415168775,6.461219077,5.509345716,4.567418178,508.6529687,475.2143858,441.6104115,405.8888215,367.2216243,1.151372121,1.150308897,1.72802746310921e-05,0.001045944,1.174456742,1.17346431,1.52478263857028e-05,0.000977184,1.210249552,1.209328182,1.32862177135058e-05,0.000908084,1.229069264,1.228223306,1.13288786170261e-05,0.00083463,1.232116463,1.231351953,9.39199113688597e-06,0.000755119
CIV,CIV.9_1,OILP,975.3498072,6.37795846,6220.740554,4304.064275,4364.065463,4392.536046,4569.269815,5064.140252,4297.566054,4358.157,4387.263479,4564.594258,5060.08353,0.003429353,0,0,0,0,6.494792255,5.90846314,5.272567658,4.675556555,4.056722364,0.691889372,0.690844766,5.51277357965844e-07,0.001044055,0.701534717,0.700584916,0,0.000949801,0.706111436,0.705263857,0,0.000847579,0.734521843,0.733770235,0,0.000751608,0.814073535,0.813421406,0,0.000652129
CIV,CIV.13_1,OILP,43.31864873,6.21458605,269.2074701,63.72893013,59.38436278,55.08713748,69.96653191,133.8204617,63.71302065,59.36984429,55.07400999,69.95352775,133.8089135,0,0,0,0,0,0.015909481,0.014518488,0.013127494,0.013004155,0.011548154,0.236727941,0.236668844,0,5.90974729562978e-05,0.22058958,0.22053565,0,5.39304780678737e-05,0.204627076,0.204578313,0,4.87634831794496e-05,0.259898181,0.259849876,0,4.8305328922517e-05,0.497090447,0.49704755,0,4.28968550273496e-05
CIV,CIV.14_1,OILP,18.67823978,6.51700725,121.7262241,26.67866325,25.0418645,23.40506574,21.76826699,20.13146824,26.64336,25.00870083,23.37404167,21.73938251,20.10472335,0,0,0,0,0,0.035303252,0.033163661,0.03102407,0.028884479,0.026744888,0.219169398,0.218879376,0,0.000290022,0.20572284,0.205450395,0,0.000272445,0.192276282,0.192021414,0,0.000254868,0.178829723,0.178592433,0,0.000237291,0.165383165,0.165163452,0,0.000219713
CMR,CMR.9_1,OILP,37945.4949,2.651485901,100611.9447,172328.5309,165579.4535,156969.4242,151955.8124,147633.3352,172074.1162,165353.2464,156767.8571,151778.8577,147482.0885,99.90575991,89.00787525,79.35497461,69.33073902,59.23210096,154.5088631,137.1991563,122.2121254,107.6239214,92.0145229,1.712803895,1.710275223,0.000992981,0.001535691,1.645723616,1.643475304,0.000884665,0.001363647,1.560147004,1.558143593,0.000788723,0.001214688,1.510315826,1.508557042,0.000689091,0.001069693,1.467353956,1.465850689,0.000588718,0.000914549
CMR,CMR.10_1,OILP,2916.82122,11.71277533,34164.07163,49496.73982,49420.92614,47482.75598,45142.78004,43650.91637,49474.15246,49398.41144,47462.30511,45124.34139,43634.68999,2.698920781,3.149273592,2.963704965,2.788616879,2.525621035,19.88844123,19.36543556,17.48716624,15.65003317,13.70076193,1.448795107,1.448133963,7.89988034774765e-05,0.000582145,1.446576002,1.445916985,9.21808625864179e-05,0.000566836,1.389844761,1.389246154,8.6749173141889e-05,0.000511858,1.321352459,1.32081275,8.16242545367977e-05,0.000458085,1.277684839,1.277209885,7.39262305312375e-05,0.000401028
CMR,CMR.6_1,OILP,424.5791157,2.316459627,983.52038,55.35857559,50.39777816,45.5444671,63.37793368,57.47419663,55.02903761,50.10115281,45.27980815,63.13896829,57.26652454,0,0,0,0,0,0.329537979,0.296625342,0.264658953,0.238965396,0.207672097,0.05628615,0.05595109,0,0.00033506,0.051242231,0.050940635,0,0.000301596,0.046307599,0.046038505,0,0.000269094,0.064439878,0.064196909,0,0.000242969,0.05843722,0.058226068,0,0.000211152
COD,COD.25_1,OILP,20295.77239,6.794088166,137891.267,512076.1793,528783.2023,526254.9678,514189.7773,488064.464,511437.4779,528172.4833,525677.0631,513614.7025,487429.6395,366.3582514,353.3196972,337.1542327,345.4882094,406.3283129,272.3432036,257.3993224,240.75049,229.5866243,228.496164,3.713622989,3.708991068,0.002656863,0.001975058,3.834783838,3.830354848,0.002562307,0.001866683,3.816448852,3.812257834,0.002445073,0.001745944,3.728950994,3.724780499,0.002505512,0.001664983,3.539487848,3.534884043,0.00294673,0.001657075
COD,COD.18_1,OILP,22123.05963,6.802677247,150496.0344,419918.8549,385330.2827,391207.4359,400275.013,421260.025,419632.3863,385072.1496,390969.5696,400022.4985,420900.4374,129.8942832,116.1794994,108.7791919,128.0893298,218.946612,156.5743731,141.9536385,129.0871127,124.4251934,140.6409599,2.790232027,2.78832853,0.000863108,0.001040389,2.560401571,2.558686355,0.000771977,0.000943238,2.599453451,2.597872903,0.000722804,0.000857744,2.659704721,2.658026839,0.000851114,0.000826767,2.79914369,2.796754341,0.001454833,0.000934516
COD,COD.9_1,OILP,4644.08827,6.459359083,29997.83375,90161.89305,82141.33869,77596.32743,70456.367,66259.84215,90093.78135,82078.49011,77538.73845,70405.25103,66214.94027,46.08071086,42.46723925,38.78508148,34.29476372,30.12500978,22.03098418,20.38133738,18.80389609,16.82121208,14.77686963,3.005613465,3.003342911,0.001536135,0.000734419,2.738242347,2.736147243,0.001415677,0.000679427,2.586731031,2.58481126,0.001292929,0.000626842,2.348715164,2.347011175,0.001143241,0.000560748,2.2088209,2.207324063,0.00100424,0.000492598
COD,COD.2_1,OILP,12252.42462,10.40736047,127515.3996,255641.7707,244423.8261,245622.2881,243991.8248,239772.136,254825.8289,243662.3519,244765.7125,243176.5017,239012.7945,448.8218885,422.7660649,510.1228341,491.2771508,464.2483763,367.1199351,338.7082205,346.4527316,324.0459496,295.0931451,2.004791354,1.998392583,0.003519747,0.002879024,1.916818101,1.910846474,0.003315412,0.002656214,1.926216667,1.919499238,0.00400048,0.002716948,1.913430264,1.907036345,0.003852689,0.00254123,1.880338663,1.874383762,0.003640724,0.002314177
COD,COD.20_1,OILP,133.3079853,5.616295845,748.6970842,592.7870253,562.848581,740.1103541,1213.497147,1175.189578,589.5190185,559.5171095,736.9097099,1203.938327,1165.875437,1.830758215,1.933851971,1.81566871,6.738424061,6.613553932,1.4372486,1.39761958,1.384975431,2.820396229,2.70058727,0.791758159,0.787393234,0.002445259,0.001919666,0.751770767,0.747321075,0.002582956,0.001866736,0.988531102,0.98425615,0.002425105,0.001849848,1.620811905,1.608044632,0.009000201,0.003767073,1.56964626,1.557205793,0.008833418,0.003607049
COD,COD.19_1,OILP,3419.73031,5.3,18124.57064,20317.87003,20940.52687,21665.06217,22104.76508,22080.17059,20259.10642,20885.66563,21614.6901,22059.46619,22040.39383,0.468527444,0.580874682,0.528277701,0.475680721,0.42308374,58.29508122,54.28036798,49.84378697,44.82321077,39.35367249,1.121012488,1.117770281,2.58504023680813e-05,0.003216357,1.155366783,1.152339884,3.20490174993519e-05,0.00299485,1.195342091,1.192562877,2.91470463791469e-05,0.002750067,1.219602137,1.217102828,2.6245075258942e-05,0.002473063,1.218245167,1.216050535,2.33431041387371e-05,0.002171289
COD,COD.16_1,OILP,2198.510899,8.612064284,18933.71719,29450.88346,26543.06848,24193.15104,21230.60901,20359.67131,29435.16751,26524.76246,24176.75534,21215.87306,20346.92581,8.964129426,11.24300511,10.01314473,9.034645863,7.805630078,6.751818141,7.063015033,6.382550213,5.701297238,4.939869944,1.555472872,1.554642821,0.000473448,0.000356603,1.401894209,1.400927361,0.000593809,0.000373039,1.277781367,1.276915415,0.000528853,0.0003371,1.121312249,1.120533958,0.000477172,0.000301119,1.075312951,1.074639787,0.000412261,0.000260903
COD,COD.22_1,OILP,740.4454938,8.570489242,6345.980138,3474.04385,3332.765933,3154.211,3296.665817,3450.536499,3462.276917,3322.21115,3144.954125,3288.488682,3443.548532,0.415834607,0.360941601,0.306048596,0.314126032,0.265230213,11.3510992,10.19384143,8.950826377,7.863009448,6.722737366,0.547440076,0.545585842,6.55272468386591e-05,0.001788707,0.525177492,0.523514268,5.6877203134864e-05,0.001606346,0.497040793,0.495582094,4.8227159431069e-05,0.001410472,0.519488833,0.51820028,4.95000023290281e-05,0.001239054,0.543735786,0.542634622,4.17949957678565e-05,0.001059369
COD,COD.11_1,OILP,151.311969,6.62533263,1002.492125,333.8896233,309.4188272,316.8019085,426.3460217,424.0399149,333.1536994,308.7441908,316.1736995,425.7414055,423.4889965,0,0,0,0,0,0.735923987,0.674636377,0.628209014,0.604616153,0.550918453,0.333059597,0.332325503,0,0.000734095,0.308649634,0.307976674,0,0.000672959,0.316014361,0.315387714,0,0.000626647,0.425286155,0.424683042,0,0.000603113,0.422985781,0.422436232,0,0.000549549
COD,COD.23_1,OILP,5657.679955,6.543171805,37019.17196,15540.30994,14469.07617,13330.5644,12379.13355,11657.18484,15521.70583,14451.59917,13314.60686,12364.26416,11637.89432,5.367116574,5.301880482,4.947989184,4.908308894,9.123066988,13.23699294,12.17512738,11.00954915,9.961083298,10.1674575,0.419790857,0.419288304,0.000144982,0.000357571,0.390853588,0.390381481,0.00014322,0.000328887,0.360098935,0.359667874,0.00013366,0.000297401,0.334397905,0.333996238,0.000132588,0.000269079,0.314895883,0.314374787,0.000246442,0.000274654
COD,COD.1_1,OILP,859.1987884,7.194908733,6181.856866,1556.636072,1340.620454,1091.266231,860.072249,756.7714156,1526.321894,1313.259961,1068.037614,840.2595689,737.7012134,21.83668606,19.79554733,16.84576117,14.4435614,14.02463737,8.477491992,7.56494503,6.382856329,5.369118734,5.045564868,0.251807201,0.246903467,0.003532383,0.00137135,0.216863716,0.212437782,0.003202201,0.001223733,0.176527256,0.172769709,0.002725033,0.001032514,0.139128464,0.135923491,0.002336444,0.000868528,0.122418139,0.119333273,0.002268677,0.000816189
COG,COG.7_1,OILP,104.7879602,12.20331112,1278.76008,1776.341086,1550.182977,1328.406466,1145.919496,1039.105989,1772.576589,1547.076203,1325.781196,1143.685121,1037.175807,1.321174993,1.083688,0.986460687,0.894666717,0.808306088,2.443321945,2.023086672,1.638810005,1.339708391,1.121876145,1.389112089,1.386168224,0.001033169,0.001910696,1.212254747,1.209825226,0.000847452,0.001582069,1.038823848,1.036770866,0.00077142,0.001281562,0.896117665,0.894370366,0.000699636,0.001047662,0.812588699,0.811079281,0.000632101,0.000877316
COG,COG.4_1,OILP,567.268838,12.28826505,6970.749837,1712.719308,3117.759454,2959.404949,4246.807869,4030.037593,1707.927027,3113.139414,2955.116907,4240.945085,4024.598383,2.760880449,2.770276856,2.594066135,3.868534187,3.617929683,2.031400442,1.849763137,1.693975126,1.994249632,1.821279947,0.245700871,0.245013387,0.000396066,0.000291418,0.447263139,0.446600364,0.000397414,0.000265361,0.424546142,0.423930994,0.000372136,0.000243012,0.609232574,0.60839152,0.000554967,0.000286088,0.57813545,0.577355159,0.000519016,0.000261275
COG,COG.9_1,OILP,4.307262741,9.467933107,40.7808755,47.62116672,40.84947745,34.07778819,27.30609892,21.51984732,47.39621057,40.66085552,33.92550047,27.19014542,21.43363749,0,0,0,0,0,0.22495615,0.188621934,0.152287718,0.115953502,0.086209828,1.167732819,1.162216602,0,0.005516217,1.001682209,0.997056954,0,0.004625255,0.835631599,0.831897306,0,0.003734293,0.669580988,0.666737658,0,0.00284333,0.527694589,0.525580612,0,0.002113977
COG,COG.12_1,OILP,1350.053772,11.45665317,15467.09782,8637.622608,8620.920475,8251.551881,7837.858109,7330.844445,8538.442464,8527.692044,8163.448152,7755.816256,7254.874064,73.14099581,68.71858281,64.98169123,60.52412329,56.06655535,26.03914886,24.50984855,23.12203744,21.51773009,19.90382604,0.558451411,0.552039081,0.004728812,0.001683519,0.557371562,0.55134403,0.004442888,0.001584644,0.533490638,0.527794435,0.004201285,0.001494918,0.506743941,0.501439659,0.003913089,0.001391194,0.473963799,0.469052058,0.003624892,0.001286849
COG,COG.5_1,OILP,157.9615178,11.69126572,1846.770078,467.4770117,426.1585216,385.1672913,351.4407099,322.4964767,466.4876472,425.2986395,384.4348036,350.8059354,321.9328662,0.061943881,0.037166329,0.012388776,0,0,0.927420618,0.822715759,0.720098952,0.634774506,0.563610504,0.253132221,0.252596494,3.35417396512391e-05,0.000502185,0.23075884,0.230293226,2.01250437907434e-05,0.000445489,0.208562666,0.208166034,6.70834793024781e-06,0.000389923,0.190300197,0.189956476,0,0.000343721,0.174627302,0.174322115,0,0.000305187
COG,COG.3_1,OILP,7.923963671,10.29802429,81.60117035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,COL.20_2,OILP,8.438832275,14.66320832,123.7403556,32.4708976,29.77735948,27.08382137,78.13323965,85.72456182,32.26971029,29.59226599,26.91482169,77.97845973,85.58597182,0.134002298,0.124076201,0.114150105,0.104224009,0.094297913,0.067185015,0.061017294,0.054849574,0.050555908,0.044292082,0.262411543,0.26078566,0.001082931,0.000542952,0.240643882,0.23914806,0.001002714,0.000493107,0.218876221,0.21751046,0.000922497,0.000443263,0.631428924,0.63017808,0.00084228,0.000408564,0.692777723,0.691657717,0.000762063,0.000357944
COL,COL.22_2,OILP,15057.09173,7.308824548,110049.6417,136864.1667,117874.6437,100241.8287,84071.48228,68063.35491,136206.1451,117314.29,99772.35326,83690.40696,67761.3979,269.6473041,229.6566137,192.1077702,155.4810826,122.9591751,388.3742402,330.697045,277.3677054,225.5942438,178.9978346,1.243658449,1.237679133,0.002450233,0.003529082,1.071104293,1.066012467,0.002086846,0.003004981,0.910878284,0.90661225,0.001745646,0.002520387,0.763941445,0.760478686,0.001412827,0.002049932,0.61847866,0.615734834,0.001117306,0.001626519
