GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
ETH,PMIL,6.492335864334506,5.70876549199566,4.927165340668928,4.180244487328344,3.40985019672191,0.5395082098928091,0.6313037371056054,0.6325582759775137,0.6094946497652987,0.6202150669071176,12.03,9.043,7.789,6.859,5.498
GAB,PMIL,4.247090652749268,4.255348346232987,4.045349727353512,3.9102802571764648,3.9704787810129027,0.04421089646049743,0.04421089646049743,0.04421089646049743,0.04421089646049743,0.04421089646049743,96.06,96.25,91.5,88.45,89.81
GHA,PMIL,11947.728343874309,11036.709080388273,10308.193205933225,10119.44295985987,9793.063141364282,42946.961271321205,34215.86595474573,35757.08720211098,44376.0232397129,41496.47724117237,0.2782,0.3226,0.2883,0.228,0.236
GIN,PMIL,709305.6906557743,769323.1571442654,817437.8971927352,903789.9095160824,988651.3612287876,123026.43543715052,124873.86915053132,126739.16997065626,126883.8164318989,126551.4474770641,5.765,6.161,6.45,7.123,7.812
GMB,PMIL,6950.972581345573,6397.819835057494,6099.96438946308,6196.686844847646,6127.790066480197,12299.943571721824,11339.321721068962,10898.602770953972,12438.842918892371,11866.542213156086,0.5651,0.5642,0.5597,0.4982,0.5164
GNB,PMIL,68804.54475649378,70371.10300487188,69738.60618015559,69753.68131069202,69481.47898212177,16408.157017414665,16910.537154228114,19026.720623980622,18637.42321263656,18834.24417223575,4.193,4.161,3.665,3.743,3.689
GNQ,PMIL,9.671247381567708,11.574908672120314,11.475553343655008,18.308590009640877,17.64790979265639,0.0665805430190719,0.0665805430190719,0.0665805430190719,0.0665805430190719,0.0665805430190719,145.3,173.8,172.4,275,265.1
IND,PMIL,52126.720485289785,51518.93925140273,50067.30605799287,51089.468997645236,50266.29654940284,74182.3198317278,78457.45600888702,70385.2613774725,80232.70794100182,77853.63736464512,0.7027,0.6566,0.7113,0.6368,0.6457
IRN,PMIL,0,0,0,0,0,0.033453834697123846,0.02118553262626701,0.02387679083653843,0.08884646179132437,0.06838654990906587,0,0,0,0,0
KEN,PMIL,39649.567678592946,34306.746552594734,29031.298315958386,24400.02719778114,21913.344439245644,32173.63114482294,12446.116341313389,12504.782433867267,18245.46163075815,15351.030956577319,1.232,2.756,2.322,1.337,1.427
LBR,PMIL,3711.9526954962107,3686.598561826464,3604.7757110808766,3812.391906680545,4006.6832309356505,14.558959971459702,17.895871845981794,17.500475474941634,18.331242180197847,17.994855367707718,255,206,206,208,222.7
LSO,PMIL,2.7706638195577237e-4,2.612340172725854e-4,2.454016525893984e-4,2.295692879062114e-4,2.137369232230244e-4,0.03041759919410815,0.0304423168686903,0.03045876325917103,0.03043957580361018,0.03044615710086749,0.009109,0.008581,0.008057,0.007542,0.00702
MAR,PMIL,2988.5414721385655,1841.8580258026495,1040.6106480836213,626.9613890532976,389.80120767179386,164.66886452004255,169.2862282464257,168.02971222207856,167.32826832951557,167.99772587366252,18.15,10.88,6.193,3.747,2.32
MKD,PMIL,52.147945594280586,46.17735057761568,40.20772837756996,34.26967866107028,28.68299066486746,0.5862278541392683,0.5876516012045733,0.5853380122234528,0.5864058225224316,0.5862183624921676,88.96,78.58,68.69,58.44,48.93
MLI,PMIL,58285.94180376422,56887.902612688966,55350.23257599417,56485.410608633225,57550.87700555234,86639.65290017922,67361.72513287862,83263.5133047144,87587.87849469774,83201.61902870164,0.6727,0.8445,0.6648,0.6449,0.6917
MMR,PMIL,66.74372140543711,57.95957150964987,49.22033991113654,40.5379938168251,31.91564795610713,0.008227368159436812,0.008701708679010154,0.0078062123319443495,0.008898399808111607,0.00863455717292707,8112,6661,6305,4556,3696
MOZ,PMIL,367334.05530031637,339679.50437761616,308779.4957170937,282948.6958182518,254824.57512775023,15274.478981076752,15762.645791996052,16231.190021782273,11838.027429496366,13198.765158702396,24.05,21.55,19.02,23.9,19.31
MRT,PMIL,0.14769830134826403,0.20914415149466653,0.29245524818495194,0.3928807745416965,0.41401206259486023,3.2416675481369235,2.932088844780354,3.110263920295418,3.827147978385828,3.579727957333784,0.04556,0.07133,0.09403,0.1027,0.1157
MWI,PMIL,7614.395070078798,8359.050661317679,8819.202881629868,9665.481061442404,10288.417475361524,3486.4583563277097,3017.9167491360117,2927.613982752094,3053.7699487668274,3009.046481083612,2.184,2.77,3.012,3.165,3.419
NAM,PMIL,9882.063766303294,10357.89568709991,10091.558181542408,11674.316864727634,12562.666131775648,568.1011235509449,350.41926009572757,292.2566688950946,168.7585141733937,238.58394161848966,17.39,29.56,34.53,69.18,52.66
NER,PMIL,4.315347054170556,3.8606096142792103,3.411897511086371,7.0219960372915855,8.978126333649609,2292.062758950175,1402.2777142024538,2388.7594411154805,2185.6438631547476,2148.6376131126603,0.001883,0.002753,0.001428,0.003213,0.004179
NGA,PMIL,63739.82596701132,67942.56988286584,77581.803137279785,82126.31650297789,94893.9133255625,82176.17525279016,83052.3894620741,83713.02224876883,67342.12530505222,72620.41235990844,0.7756,0.8181,0.9268,1.22,1.307
