GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
BOL,BANA,546765.9742813967,564960.8093877813,585529.3718821174,589667.1446919632,599176.1942202778,178571.6475411133,178588.11923077807,178598.051600235,178590.3773112248,178592.6275098299,3.062,3.163,3.278,3.302,3.355
BRA,BANA,7766953.240663075,8068065.946066242,8533881.464411784,9000135.717650887,9337976.462885976,4370276.460957866,4509370.675121539,4589386.349198724,4524369.703601321,4543668.789749116,1.777,1.789,1.859,1.989,2.055
BRB,BANA,117.75589725500964,103.50453590733461,87.71870615023467,72.09974808417813,56.39996908566358,211.6135536916753,247.89559027615462,49.199201441780886,136.5933196167621,105.3138059129463,0.5565,0.4175,1.783,0.5278,0.5355
BRN,BANA,1931.278945682807,1846.349478498771,1779.1599262383002,1728.4495162474072,1677.408032077389,1023.073993920535,831.2748176616564,1002.5054462449191,1105.822583444642,1042.7375940344532,1.888,2.221,1.775,1.563,1.609
BTN,BANA,10.010910262772052,15.100531568046947,19.639717205130307,19.336367779347317,20.44054063785476,203.57700537710707,206.48105505960407,215.63661814463762,228.66424747300053,223.97107835643254,0.04918,0.07313,0.09108,0.08456,0.09126
BWA,BANA,0.1652890099060101,0.14974825386617774,0.13420749782634542,0.47686210699082276,0.5397713471557343,0.5947346753952011,0.6531056839149798,0.6627387264566881,0.683218971042628,0.6701147089563895,0.2779,0.2293,0.2025,0.698,0.8055
CAF,BANA,35039.71486513602,37826.11154329513,38723.38588232344,39866.98029063659,41092.251214574266,10447.000889794714,10353.694286133139,10373.491054719343,10149.08739877735,10220.66344700232,3.354,3.653,3.733,3.928,4.021
CHN,BANA,451279.2527181534,439920.6451698996,433071.01501497655,432758.61667152937,457888.6621251037,2802789.2260373905,2847397.0151255545,2863365.0638362477,2847974.66557128,2852688.7223409964,0.161,0.1545,0.1512,0.152,0.1605
CIV,BANA,47309.23666098409,48588.59602586021,46775.8707488632,46001.38355515812,45852.377335870864,549368.9801976033,556642.2963207879,557225.7310616787,558188.8935675315,557511.605509261,0.08612,0.08729,0.08394,0.08241,0.08224
CMR,BANA,75871.05944129832,63116.116221762684,51595.8260148805,41013.39189011438,31330.94459308829,55325.86863484369,52766.47028473655,52734.05208468974,50487.96079122615,51526.73144681063,1.371,1.196,0.9784,0.8123,0.6081
COD,BANA,730066.3213616599,768622.627576385,802890.1031922988,846568.7326172895,893532.416434487,123483.47868070699,125070.36459780858,127608.34408101813,130770.7489673151,129185.24995268282,5.912,6.146,6.292,6.474,6.917
COG,BANA,111687.23081613118,116417.43472403189,118191.12958056932,123589.8500998221,130671.33609846563,42564.54878601808,42540.13780418417,42767.12199607654,42997.927532916874,42903.96038108498,2.624,2.737,2.764,2.874,3.046
COL,BANA,815068.5059408634,828014.4470517447,848681.3736264587,880363.1091654792,885142.7862881888,2197185.8263272755,2210196.3269793945,2308951.6532669407,2338821.936612658,2316367.996478387,0.371,0.3746,0.3676,0.3764,0.3821
CRI,BANA,311349.52722327976,307121.8957278193,314169.4707019573,314758.38410210225,316589.75679579703,2189401.85536456,2145324.582821055,2081764.0226386932,2113912.4838262727,2102580.0344398823,0.1422,0.1432,0.1509,0.1489,0.1506
CUB,BANA,64781.78198737484,66231.02678567388,64156.55793670908,66559.04281517556,64335.678358561425,124887.7031071709,114728.38682299982,112536.23059317996,116567.09059925443,114983.93665144216,0.5187,0.5773,0.5701,0.571,0.5595
CYP,BANA,0.7245184533397548,0.6714704549269325,0.8336101656026774,0.772319358968545,0.8623634014664149,172.33436089162038,156.4353094749305,166.65612824280257,170.63089109697503,166.1428160113495,0.004204,0.004292,0.005002,0.004526,0.00519
DEU,BANA,0,0,0,0,0,1.2450045919936839,1.3433654714214869,1.3235876573599297,1.2468826040113985,1.2886164326356842,0,0,0,0,0
DMA,BANA,11616.456073380488,11019.56430277214,10307.79493379117,9659.174492459646,8980.189174321398,2438.0278384824487,2438.1397785786603,2434.055021105583,2436.7415834146595,2435.750710803768,4.765,4.52,4.235,3.964,3.687
