GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
GAB,OILP,207302.62992107566,207756.14748111574,217078.62870661568,216902.25589437154,226954.21848855814,8532.46615042816,13153.520005900553,18121.865259929364,18071.767840503253,17501.04659275856,24.3,15.79,11.98,12,12.97
GHA,OILP,4163114.143015758,4440499.059301917,4787497.331219065,5059041.604641998,5382635.0214904165,1857749.2306566774,1872193.9572789283,1877357.9319284067,1869139.4791465998,1872099.6233203986,2.241,2.372,2.55,2.707,2.875
GIN,OILP,6781314.438311947,7289852.980707679,7560170.964031849,7938577.0997847365,8108144.64407807,562732.604880176,559871.1344418026,561955.5691115494,562330.337978077,561690.4193888054,12.05,13.02,13.45,14.12,14.44
GMB,OILP,2280.0046629580575,2481.7654248784097,2589.7143541542832,2704.392462892251,2741.69535263334,13260.760853830874,13266.171189423896,13261.930881979864,13265.699725018349,13264.601111301949,0.1719,0.1871,0.1953,0.2039,0.2067
GNB,OILP,47816.287904500605,46888.35510235754,45837.12770378559,44406.68548888227,43812.03812997372,56496.51713658827,56403.79076880386,56426.65113694385,56455.871639634825,56433.421753157825,0.8464,0.8313,0.8123,0.7866,0.7763
GNQ,OILP,225909.8976861028,244536.67735856786,255050.69401086078,270493.7757531795,283529.39744344086,17119.90439988975,17035.250194762953,16700.825525722878,16756.615902951475,16744.570414244354,13.2,14.35,15.27,16.14,16.93
GTM,OILP,2658777.639801942,2636848.751833885,2604030.0103431023,2612458.9551615394,2907270.296527754,2347297.0705464743,2473169.480016059,2556322.3154327897,2549371.088603526,2533437.681815411,1.133,1.066,1.019,1.025,1.148
GUY,OILP,1.7398844890574487,1.312937448490252,0.9389920222152726,2.3158815847820833,2.351066453218343,0.2582305607510155,0.2582305607510155,0.2582305607510155,0.2582305607510155,0.2582305607510155,6.738,5.084,3.636,8.968,9.105
HND,OILP,4008835.5095917378,4244067.3484638855,4346415.945683243,4632125.04495334,4806924.645352284,1969963.642186863,1790465.2937734914,1776243.7333408003,1662935.4191835707,1724920.1958228396,2.035,2.37,2.447,2.786,2.787
HTI,OILP,26.54872947373433,26.36943391435549,27.745101175382736,32.56427887750023,32.32571944105669,554.9208564121161,580.3448218016312,605.687307921795,631.1357208942279,616.7951659740189,0.04784,0.04544,0.04581,0.0516,0.05241
