GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
CHN,PLNT,1484.4225706173013,1490.623037828932,1464.9682961259257,2098.427260060615,2341.648877986302,1216.0661892053406,1038.9539737160153,1212.1129693353512,1247.1632331459818,1216.3729858636086,1.221,1.435,1.209,1.683,1.925
CIV,PLNT,913726.0210305236,880663.395922247,855748.4164763294,848429.373531296,835309.647738058,1669350.4903861617,1669479.7361045466,1669352.543821196,1669437.5171312483,1669413.244281146,0.5474,0.5275,0.5126,0.5082,0.5004
CMR,PLNT,236843.69928304324,197243.65165844004,162321.6812713417,130476.12289456066,101910.2774152391,183545.27664926587,187968.56770685108,188864.0582828384,188204.2030267051,188394.12559603853,1.29,1.049,0.8595,0.6933,0.5409
COD,PLNT,3076868.2481323206,3254071.797296796,3386780.0346613456,3544390.7492081975,3712595.2791675352,421927.50402370247,423402.8557759134,423748.36624841124,424709.0265971035,424152.209979442,7.292,7.686,7.992,8.345,8.753
COG,PLNT,117487.9171446058,121366.295738049,122542.73535063009,127344.43917897857,133920.48873935777,43756.154675822814,43804.69099825148,43838.87098263716,43873.27728126745,43852.13860292024,2.685,2.771,2.795,2.903,3.054
COL,PLNT,2468749.2103071944,2393646.394154767,2359003.302488121,2313241.250507219,2266732.325192822,1772854.1638862162,1797666.7157768817,1909862.223656042,1995069.90504301,1946009.9778058745,1.393,1.332,1.235,1.159,1.165
CRI,PLNT,114297.45633863455,111678.26703154885,111087.39805264995,108548.68141551047,104539.8802221364,69966.03163224774,59950.36847371125,60488.12278279261,65813.6922079075,62974.721919239986,1.634,1.863,1.837,1.649,1.66
CUB,PLNT,111254.92765419715,110648.80835198691,104729.18183262038,104269.09724843725,98779.66776566769,306356.07873119466,318824.81353969517,346632.54404666997,360177.4894565962,351225.33798971045,0.3632,0.3471,0.3021,0.2895,0.2812
DMA,PLNT,1228.7592569869134,1149.4476563566407,1066.3569890865888,986.2910758664976,910.0845669498807,616.3670751594403,613.2614838519606,614.7540661705874,616.2459400970363,615.1495142973106,1.994,1.874,1.735,1.6,1.479
DOM,PLNT,203351.34011773308,199288.01747095928,191581.50986142483,195556.79209072277,191791.5215035007,853609.7352253787,794966.2994396226,850910.2377845168,986414.4290687096,936996.6395183922,0.2382,0.2507,0.2251,0.1983,0.2047
ECU,PLNT,1306838.8774897214,1248438.4609476116,1294722.7949480044,1283433.8113898665,1343892.3014770758,548549.6828452981,579765.434604454,651171.2464308616,638356.8856753929,639945.3589352313,2.382,2.153,1.988,2.011,2.1
ETH,PLNT,1.6992697036299542e-5,1.213764074021396e-5,7.282584444128377e-6,2.427528148042792e-6,0,0.01395093263447384,0.013848375017478444,0.013936972996877583,0.014025570976276719,0.013980917594659612,0.001218,8.765e-4,5.225e-4,1.731e-4,0
FJI,PLNT,529.4439660560281,737.7346773986994,719.5397802083348,958.4350011632314,916.5694985967502,728.8390328194789,1073.035301761958,1231.4438533322825,1517.8130587086723,1379.2504998898833,0.7264,0.6875,0.5843,0.6315,0.6645
GAB,PLNT,619943.5534425017,588806.2634145198,573660.988363383,542280.5639450158,530716.5733296626,94203.82482104057,95090.25781664156,95766.31124414153,96442.36466560751,96012.62003829722,6.581,6.192,5.99,5.623,5.528
GHA,PLNT,1812542.1646046522,1865773.414810653,1945594.7400315888,2061144.2171732201,2175308.59183906,2796024.186338861,2827759.0671502757,2784044.746365009,2802609.331183639,2799388.757935802,0.6483,0.6598,0.6988,0.7354,0.7771
GIN,PLNT,134799.32248615948,145940.69436393294,152666.27430440806,164242.44758185724,173782.8659611092,52185.89643337243,56155.96207252955,60128.38635002968,64048.26457878882,61647.52303280052,2.583,2.599,2.539,2.564,2.819
GNB,PLNT,26856.645536798813,25027.441313605395,23021.519480247945,21174.9124969827,19405.344173347825,30539.827193807298,30721.650427973753,30781.353223674094,30680.968177522816,30717.899049890093,0.8794,0.8147,0.7479,0.6902,0.6317
GNQ,PLNT,29437.225717577403,31174.07040052025,30474.25533821961,32307.52118518548,34712.76137891469,4640.667621960424,4566.124807132093,4589.528721262418,4599.079116747828,4587.500838136538,6.343,6.827,6.64,7.025,7.567
GRD,PLNT,341.9646231124646,349.216004798302,349.70049098612856,332.0487613793265,364.50557944971155,1168.693502063463,1197.535888590202,874.5011594907256,603.7672912930692,763.1472427185993,0.2926,0.2916,0.3999,0.55,0.4776
GTM,PLNT,166404.43785539258,160646.29035376158,154529.6943316816,153721.97419389075,156278.85818358793,159939.01819361077,233299.5915386002,127441.78033120166,156093.6684843162,151984.13535612618,1.04,0.6886,1.213,0.9848,1.028
GUY,PLNT,12842.49585698204,12617.79312894166,12484.350546087084,17661.697107941392,21910.768629953007,44524.97072270584,45076.30675645025,49614.70130990679,50469.81488242108,49705.2353649717,0.2884,0.2799,0.2516,0.3499,0.4408
HND,PLNT,174046.96497289705,160797.75602645372,144493.7062964317,130164.4972522455,115819.68355408218,59953.092548895685,60376.15824326954,60195.078463283295,60265.032295410485,60243.05129397688,2.903,2.663,2.4,2.16,1.923
HTI,PLNT,18641.283312408348,17478.86323128744,16449.714398121745,15806.643453141825,15205.66082244845,131597.36196367248,140157.01102675663,142152.32783487992,143435.3501738304,142437.55661987275,0.1417,0.1247,0.1157,0.1102,0.1068
IND,PLNT,3992.9444620509817,4286.503549120766,4531.176825126977,4767.912449305701,5023.715723325172,690.1986095544862,681.8345998511354,731.2058309603877,744.5340248048509,731.5331900493827,5.785,6.287,6.197,6.404,6.867
JAM,PLNT,30779.933015892293,28493.147096768163,26034.20618446986,24305.61106452714,22240.6659523292,26013.52063840097,29677.42130749707,35162.5353932926,35450.40086642291,34919.72357511889,1.183,0.9601,0.7404,0.6856,0.6369
KEN,PLNT,1072.0466230065047,957.1053720725545,827.4267538610478,709.9011126976949,618.7909251402066,3304.0919829905197,3258.4566342812254,3277.9402114817262,3288.8104990075467,3282.894170594514,0.3245,0.2937,0.2524,0.2159,0.1885
LAO,PLNT,108.13071266758018,114.4634794637902,122.93443823337884,140.69539174380566,164.64322731126984,12.429036286732188,10.618827128151063,12.388631649509573,12.746869551877817,12.432171960457936,8.7,10.78,9.923,11.04,13.24
LBR,PLNT,562232.4462123434,555272.6471898063,563480.015041123,571308.1772476009,583675.0919709114,32225.1324228657,31643.689228309056,31787.710206872864,31892.902763226746,31800.863698007182,17.45,17.55,17.73,17.91,18.35
LCA,PLNT,232.74997212101135,204.00599396563646,176.01585302594523,148.54831019754286,126.19869769109312,230.79727222856377,311.7646136514049,404.70220986931724,215.59908355617,269.7970348371302,1.008,0.6544,0.4349,0.689,0.4678
LKA,PLNT,53705.71568064853,52198.8894585879,49895.396739894095,49155.517351424,49868.421625670715,507023.2891743261,422963.8229533286,795227.3961251687,406942.00136789685,508416.5765595525,0.1059,0.1234,0.06274,0.1208,0.09809
