GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
CAN,VEGE,21882.329866850592,21339.742294850123,20444.77263515213,18905.578190401626,17641.49036272275,189122.36250205894,189122.36250205894,189122.36250205894,189122.36250205894,189122.36250205894,0.1157,0.1128,0.1081,0.09996,0.09328
CHE,VEGE,45.949215322149136,41.15440490917426,36.58361471039489,35.196834505338806,30.92018773880178,2535.990825131674,2535.990825131674,2535.990825131674,2535.990825131674,2535.990825131674,0.01812,0.01623,0.01443,0.01388,0.01219
CHL,VEGE,33324.04641816029,31511.23125872547,29425.514517491698,27639.34445571974,25608.368339337085,411642.86433696456,411642.86433696456,411642.86433696456,411642.86433696456,411642.86433696456,0.08095,0.076550000000000007,0.07148,0.06714,0.06221
CHN,VEGE,2772204.5620529116,2707326.404168412,2690590.596922158,2702417.944403494,2775984.0661309566,36765825.12853754,36765825.12853754,36765825.12853754,36765825.12853754,36765825.12853754,0.0754,0.07364,0.07318,0.0735,0.0755
CIV,VEGE,214502.10919356116,200954.42083874304,190483.3447909523,184180.17732218947,179131.38103125576,492545.0248356891,492545.0248356891,492545.0248356891,492545.0248356891,492545.0248356891,0.4355,0.408,0.3867,0.3739,0.3637
CMR,VEGE,3263626.0693303123,3643097.3118367577,3870173.4306021314,4272328.5932743605,4601482.701962021,605170.6773414527,605170.6773414527,605170.6773414527,605170.6773414527,605170.6773414527,5.393,6.02,6.395,7.06,7.604
COD,VEGE,1980765.9970181715,2053652.7585997921,2116193.1057582,2210256.485717731,2285059.281812963,320263.52375935967,320263.52375935967,320263.52375935967,320263.52375935967,320263.52375935967,6.185,6.412,6.608,6.901,7.135
COG,VEGE,104739.28964590254,104572.96488159447,103460.05700942817,104252.35229445471,106644.64889239146,96477.84179634522,96477.84179634522,96477.84179634522,96477.84179634522,96477.84179634522,1.086,1.084,1.072,1.081,1.105
COL,VEGE,661371.5980082465,636988.6896763819,616657.081250507,591366.5991668281,558696.2819812307,674346.3143418496,674346.3143418496,674346.3143418496,674346.3143418496,674346.3143418496,0.9808,0.9446,0.9145,0.8769,0.8285
CRI,VEGE,72198.91684075077,67493.39573576141,62901.16940946944,58365.31130842024,53268.299718475995,73256.6728695982,73256.6728695982,73256.6728695982,73256.6728695982,73256.6728695982,0.9856,0.9213,0.8586,0.7967,0.7271
CUB,VEGE,59902.2753666445,53884.76356238619,47613.6394495264,43591.353169620466,38891.81154417011,463596.3310975902,463596.3310975902,463596.3310975902,463596.3310975902,463596.3310975902,0.1292,0.1162,0.1027,0.09403,0.08389
CYP,VEGE,0.8599316688179778,0.5823630803818762,0.4025034748421322,0.28556348674159454,0.20506239849154145,335.494892625116,335.494892625116,335.494892625116,335.494892625116,335.494892625116,0.002563,0.001736,0.0012,8.512e-4,6.112e-4
CZE,VEGE,17.144414762299046,17.63413489868252,16.828312251441414,29.308054536193847,26.74287392024022,1175.1277357203908,1175.1277357203908,1175.1277357203908,1175.1277357203908,1175.1277357203908,0.01459,0.01501,0.01432,0.02494,0.02276
DEU,VEGE,289.0570261689057,259.82677740279615,229.68773420970433,198.60228364223855,182.02867173566278,16702.70907033989,16702.70907033989,16702.70907033989,16702.70907033989,16702.70907033989,0.01731,0.01556,0.01375,0.01189,0.0109
DMA,VEGE,4875.074452877025,4609.095563018369,4315.318205285036,4037.9744479212395,3754.73826305739,721.2000606657775,721.2000606657775,721.2000606657775,721.2000606657775,721.2000606657775,6.76,6.391,5.984,5.599,5.206
DNK,VEGE,273.167204486691,227.7563511929215,190.62281964051613,160.33154268158364,135.71869952665824,7492.891407562294,7492.891407562294,7492.891407562294,7492.891407562294,7492.891407562294,0.03646,0.0304,0.02544,0.0214,0.01811
DOM,VEGE,103574.29392512128,101754.42946546784,95607.46036366974,91945.88123291734,87147.53619753348,413918.10339842964,413918.10339842964,413918.10339842964,413918.10339842964,413918.10339842964,0.2502,0.2458,0.231,0.2221,0.2105
DZA,VEGE,7564.249965551261,7343.845920813813,7205.229753535669,7013.210097074884,7055.574477250922,166056.87848900116,166056.87848900116,166056.87848900116,166056.87848900116,166056.87848900116,0.04555,0.04422,0.04339,0.04223,0.04249
ECU,VEGE,252990.03507448582,225206.81702819964,202839.88527534975,181737.2820860275,170433.36907983007,127563.23822212077,127563.23822212077,127563.23822212077,127563.23822212077,127563.23822212077,1.983,1.765,1.59,1.425,1.336
EGY,VEGE,3721.505358767952,3505.861842410983,3185.2052981335773,3431.7967020840542,3518.685134856658,372391.81416038936,372391.81416038936,372391.81416038936,372391.81416038936,372391.81416038936,0.009994,0.009414,0.008553,0.009216,0.009449
ERI,VEGE,0.4725694913039149,0.4167636643307529,0.38624548570976536,0.3557273070887779,0.3252091284677904,18.289831493449384,18.289831493449384,18.289831493449384,18.289831493449384,18.289831493449384,0.02584,0.02279,0.02112,0.01945,0.01778
ESP,VEGE,21619.25958651109,19631.78471437312,17951.94420434776,16288.386097650757,14681.478848388979,1066957.459525825,1066957.459525825,1066957.459525825,1066957.459525825,1066957.459525825,0.02026,0.0184,0.01683,0.01527,0.01376
EST,VEGE,22.80376237884835,20.630836412523426,19.12783317805286,17.564733003871382,15.81839642478222,128.5328162733179,128.5328162733179,128.5328162733179,128.5328162733179,128.5328162733179,0.1774,0.1605,0.1488,0.1367,0.1231
ETH,VEGE,41246.618447833294,38116.39826051422,35798.45532355382,33895.184072835356,32761.648485888374,182436.1374147687,182436.1374147687,182436.1374147687,182436.1374147687,182436.1374147687,0.2261,0.2089,0.1962,0.1858,0.1796
FIN,VEGE,3791.3363620781515,3562.497158261351,3337.198358857033,3038.9900568709027,2693.7971633868365,1687.7312186206566,1687.7312186206566,1687.7312186206566,1687.7312186206566,1687.7312186206566,2.246,2.111,1.977,1.801,1.596
FJI,VEGE,1193.8909474792285,1180.0606382782764,1113.4787465394115,1079.4968462742438,1102.2662925243021,4374.506956230511,4374.506956230511,4374.506956230511,4374.506956230511,4374.506956230511,0.2729,0.2698,0.2545,0.2468,0.252
FRA,VEGE,7481.741138684979,6844.724151422911,6180.677617027636,6172.485358510724,6042.309553240833,137914.76314976375,137914.76314976375,137914.76314976375,137914.76314976375,137914.76314976375,0.05425,0.04963,0.04482,0.04476,0.04381
GAB,VEGE,134877.13551276276,129788.5592854819,135786.41488616113,132385.09738147334,130368.88754847345,21276.144683679813,21276.144683679813,21276.144683679813,21276.144683679813,21276.144683679813,6.339,6.1,6.382,6.222,6.127
GBR,VEGE,1055.3070094651587,611.682175080667,471.08821260302085,365.8338818933557,291.5981008309023,37128.76328784352,37128.76328784352,37128.76328784352,37128.76328784352,37128.76328784352,0.02842,0.01647,0.01269,0.009853,0.007854
GEO,VEGE,98.42240918016861,81.85675216497849,70.67728485747632,74.35578630845913,68.67537089479484,890.0598769117641,890.0598769117641,890.0598769117641,890.0598769117641,890.0598769117641,0.1106,0.09197,0.07941,0.08354,0.07716
GHA,VEGE,153865.88452437217,158422.41573967863,165224.59312022923,171256.50785788754,177893.070503475,94656.71155721461,94656.71155721461,94656.71155721461,94656.71155721461,94656.71155721461,1.626,1.674,1.746,1.809,1.879
GIN,VEGE,387367.47707954823,408165.8546518197,425224.6157127677,455874.22111843247,493296.16493875865,343716.6946830274,343716.6946830274,343716.6946830274,343716.6946830274,343716.6946830274,1.127,1.188,1.237,1.326,1.435
GLP,VEGE,438.99806761484393,355.4955336015106,285.00992438636257,217.97424437422416,158.31009516254954,93.38957196614842,93.38957196614842,93.38957196614842,93.38957196614842,93.38957196614842,4.701,3.807,3.052,2.334,1.695
GMB,VEGE,2004.1310225195984,1959.6985392666224,1935.5794543962463,1919.5457570814037,2065.2760968770153,4887.231117973451,4887.231117973451,4887.231117973451,4887.231117973451,4887.231117973451,0.4101,0.401,0.396,0.3928,0.4226
GNB,VEGE,8532.818278494366,8490.603307036657,8455.337990411175,8704.504546939628,8899.85179885172,16209.544345289907,16209.544345289907,16209.544345289907,16209.544345289907,16209.544345289907,0.5264,0.5238,0.5216,0.537,0.5491
GNQ,VEGE,4243.794367835679,4477.587732586658,4455.921703075557,4417.447041028979,4434.044461099461,621.2945793283957,621.2945793283957,621.2945793283957,621.2945793283957,621.2945793283957,6.831,7.207,7.172,7.11,7.137
GRC,VEGE,5534.431492723141,4975.747295687871,4410.313423416888,3885.291831637994,3425.233942095056,77834.1220569442,77834.1220569442,77834.1220569442,77834.1220569442,77834.1220569442,0.07111,0.06393,0.05666,0.04992,0.04401
GRD,VEGE,518.7960462408223,473.62644049400177,421.91777092673766,364.10460777355746,369.4643937237405,2002.6581967322754,2002.6581967322754,2002.6581967322754,2002.6581967322754,2002.6581967322754,0.2591,0.2365,0.2107,0.1818,0.1845
GTM,VEGE,970152.0834058544,969068.9745233827,963336.8529600829,994105.8534463228,1050487.5574295628,527647.070245454,527647.070245454,527647.070245454,527647.070245454,527647.070245454,1.839,1.837,1.826,1.884,1.991
GUF,VEGE,4758.379844180024,3573.7259443817243,2557.847222482851,1694.3245915845978,1096.3436870584694,331.5023705627432,331.5023705627432,331.5023705627432,331.5023705627432,331.5023705627432,14.35,10.78,7.716,5.111,3.307
GUY,VEGE,6990.242281805234,6412.582296182766,5911.744785297589,7371.418210541575,8441.784914583088,50579.93753683361,50579.93753683361,50579.93753683361,50579.93753683361,50579.93753683361,0.1382,0.1268,0.1169,0.1457,0.1669
HND,VEGE,154018.15438478728,150083.9926839684,141214.66121226508,137100.52105419122,131441.20023278747,170819.33126423295,170819.33126423295,170819.33126423295,170819.33126423295,170819.33126423295,0.9016,0.8786,0.8267,0.8026,0.7695
HRV,VEGE,1014.4623043646607,953.1809411877523,930.0263913724253,977.878869449468,943.1586642565574,9195.886721833689,9195.886721833689,9195.886721833689,9195.886721833689,9195.886721833689,0.1103,0.1037,0.1011,0.1063,0.1026
HTI,VEGE,9401.448543639784,8951.409795692101,8594.135815551084,8571.698023392542,8338.09564734768,52469.495642708796,52469.495642708796,52469.495642708796,52469.495642708796,52469.495642708796,0.1792,0.1706,0.1638,0.1634,0.1589
HUN,VEGE,933.3379414963891,871.3558594333513,815.2019560970191,793.8770360974701,735.6171533465315,10414.230357928964,10414.230357928964,10414.230357928964,10414.230357928964,10414.230357928964,0.08962,0.08367,0.07828,0.07623,0.07064
IDN,VEGE,6502415.865070638,5973130.400642962,5467387.143446623,5142453.749052367,4778033.373089112,3474292.122983335,3474292.122983335,3474292.122983335,3474292.122983335,3474292.122983335,1.872,1.719,1.574,1.48,1.375
IND,VEGE,2432297.308401307,2447742.1436883146,2421785.501248955,2472940.4258771255,2485220.5641037305,6497901.953215829,6497901.953215829,6497901.953215829,6497901.953215829,6497901.953215829,0.3743,0.3767,0.3727,0.3806,0.3825
IRL,VEGE,86.18013885405362,62.9009155043165,49.22221597326919,36.34711948986104,33.57034029440735,18518.88762960847,18518.88762960847,18518.88762960847,18518.88762960847,18518.88762960847,0.004654,0.003397,0.002658,0.001963,0.001813
