GID_0,crop_type,OILP_LD_2020,OILP_LD_2021,OILP_LD_2022,OILP_LD_2023,OILP_LD_2024,OILP_production_2020,OILP_production_2021,OILP_production_2022,OILP_production_2023,OILP_production_2024,OILP_EF_2020,OILP_EF_2021,OILP_EF_2022,OILP_EF_2023,OILP_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
BEN,OILP,40835.80267532581,42133.05708623643,45797.89275187945,48782.90559374534,48484.03983318162,479248.80657545733,514065.53726508183,536816.6212505782,523648.0257350224,526706.0768705735,0.08521,0.08196,0.08531,0.09316,0.09205,Palm oil,1 kg palm oil,6.7,0.5709069999999999,0.5491320000000001,0.571577,0.6241720000000001,0.616735
BEN,OILP,40835.80267532581,42133.05708623643,45797.89275187945,48782.90559374534,48484.03983318162,479248.80657545733,514065.53726508183,536816.6212505782,523648.0257350224,526706.0768705735,0.08521,0.08196,0.08531,0.09316,0.09205,Magnesium stearate,1 kg magnesium stearate,6.7,0.5709069999999999,0.5491320000000001,0.571577,0.6241720000000001,0.616735
BEN,OILP,40835.80267532581,42133.05708623643,45797.89275187945,48782.90559374534,48484.03983318162,479248.80657545733,514065.53726508183,536816.6212505782,523648.0257350224,526706.0768705735,0.08521,0.08196,0.08531,0.09316,0.09205,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,0.5368229999999999,0.516348,0.537453,0.586908,0.5799150000000001
BEN,OILP,40835.80267532581,42133.05708623643,45797.89275187945,48782.90559374534,48484.03983318162,479248.80657545733,514065.53726508183,536816.6212505782,523648.0257350224,526706.0768705735,0.08521,0.08196,0.08531,0.09316,0.09205,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,0.5283019999999999,0.508152,0.528922,0.5775920000000001,0.57071
BEN,OILP,40835.80267532581,42133.05708623643,45797.89275187945,48782.90559374534,48484.03983318162,479248.80657545733,514065.53726508183,536816.6212505782,523648.0257350224,526706.0768705735,0.08521,0.08196,0.08531,0.09316,0.09205,Palm kernel oil,1 kg palm kernel oil,6.6,0.5623859999999999,0.540936,0.5630459999999999,0.614856,0.60753
BLZ,OILP,275.66770386503896,239.0483184703218,203.80107320910656,170.45889844449664,141.48365391498606,44.27993983387812,46.658149707111825,48.22768175851989,48.09863734284924,47.79687401453747,6.226,5.123,4.226,3.544,2.96,Palm oil,1 kg palm oil,6.7,41.7142,34.3241,28.3142,23.7448,19.832
BLZ,OILP,275.66770386503896,239.0483184703218,203.80107320910656,170.45889844449664,141.48365391498606,44.27993983387812,46.658149707111825,48.22768175851989,48.09863734284924,47.79687401453747,6.226,5.123,4.226,3.544,2.96,Magnesium stearate,1 kg magnesium stearate,6.7,41.7142,34.3241,28.3142,23.7448,19.832
BLZ,OILP,275.66770386503896,239.0483184703218,203.80107320910656,170.45889844449664,141.48365391498606,44.27993983387812,46.658149707111825,48.22768175851989,48.09863734284924,47.79687401453747,6.226,5.123,4.226,3.544,2.96,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,39.2238,32.2749,26.6238,22.3272,18.648
BLZ,OILP,275.66770386503896,239.0483184703218,203.80107320910656,170.45889844449664,141.48365391498606,44.27993983387812,46.658149707111825,48.22768175851989,48.09863734284924,47.79687401453747,6.226,5.123,4.226,3.544,2.96,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,38.6012,31.762600000000003,26.2012,21.9728,18.352
BLZ,OILP,275.66770386503896,239.0483184703218,203.80107320910656,170.45889844449664,141.48365391498606,44.27993983387812,46.658149707111825,48.22768175851989,48.09863734284924,47.79687401453747,6.226,5.123,4.226,3.544,2.96,Palm kernel oil,1 kg palm kernel oil,6.6,41.0916,33.8118,27.891599999999997,23.3904,19.535999999999998
BOL,OILP,419.7742370442696,512.2167571946236,662.9067789627983,640.974926766465,760.8105715525021,77.14031436239877,113.08278556134202,129.1795704827406,130.5963769674206,125.6555446490383,5.442,4.53,5.132,4.908,6.055,Palm oil,1 kg palm oil,6.7,36.461400000000005,30.351000000000003,34.3844,32.8836,40.5685
BOL,OILP,419.7742370442696,512.2167571946236,662.9067789627983,640.974926766465,760.8105715525021,77.14031436239877,113.08278556134202,129.1795704827406,130.5963769674206,125.6555446490383,5.442,4.53,5.132,4.908,6.055,Magnesium stearate,1 kg magnesium stearate,6.7,36.461400000000005,30.351000000000003,34.3844,32.8836,40.5685
BOL,OILP,419.7742370442696,512.2167571946236,662.9067789627983,640.974926766465,760.8105715525021,77.14031436239877,113.08278556134202,129.1795704827406,130.5963769674206,125.6555446490383,5.442,4.53,5.132,4.908,6.055,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,34.2846,28.539,32.331599999999995,30.9204,38.146499999999996
BOL,OILP,419.7742370442696,512.2167571946236,662.9067789627983,640.974926766465,760.8105715525021,77.14031436239877,113.08278556134202,129.1795704827406,130.5963769674206,125.6555446490383,5.442,4.53,5.132,4.908,6.055,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,33.7404,28.086000000000002,31.8184,30.429600000000004,37.541
BOL,OILP,419.7742370442696,512.2167571946236,662.9067789627983,640.974926766465,760.8105715525021,77.14031436239877,113.08278556134202,129.1795704827406,130.5963769674206,125.6555446490383,5.442,4.53,5.132,4.908,6.055,Palm kernel oil,1 kg palm kernel oil,6.6,35.9172,29.898,33.871199999999995,32.3928,39.962999999999994
BRA,OILP,9615890.447442276,9986066.365743892,10452565.201035531,10744230.22791024,11243713.71882644,2126893.6396709373,2141489.940471088,2188828.8117436394,2149449.6467288444,2165784.101927684,4.521,4.663,4.775,4.999,5.192,Palm oil,1 kg palm oil,6.7,30.2907,31.242100000000004,31.992500000000003,33.4933,34.7864
BRA,OILP,9615890.447442276,9986066.365743892,10452565.201035531,10744230.22791024,11243713.71882644,2126893.6396709373,2141489.940471088,2188828.8117436394,2149449.6467288444,2165784.101927684,4.521,4.663,4.775,4.999,5.192,Magnesium stearate,1 kg magnesium stearate,6.7,30.2907,31.242100000000004,31.992500000000003,33.4933,34.7864
BRA,OILP,9615890.447442276,9986066.365743892,10452565.201035531,10744230.22791024,11243713.71882644,2126893.6396709373,2141489.940471088,2188828.8117436394,2149449.6467288444,2165784.101927684,4.521,4.663,4.775,4.999,5.192,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,28.4823,29.3769,30.082500000000003,31.493699999999997,32.7096
BRA,OILP,9615890.447442276,9986066.365743892,10452565.201035531,10744230.22791024,11243713.71882644,2126893.6396709373,2141489.940471088,2188828.8117436394,2149449.6467288444,2165784.101927684,4.521,4.663,4.775,4.999,5.192,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,28.0302,28.910600000000002,29.605000000000004,30.9938,32.190400000000004
BRA,OILP,9615890.447442276,9986066.365743892,10452565.201035531,10744230.22791024,11243713.71882644,2126893.6396709373,2141489.940471088,2188828.8117436394,2149449.6467288444,2165784.101927684,4.521,4.663,4.775,4.999,5.192,Palm kernel oil,1 kg palm kernel oil,6.6,29.838599999999996,30.7758,31.515,32.993399999999994,34.2672
BRN,OILP,13738.433559755023,12242.499770863404,11288.388739490998,9853.875889257972,8680.277129187281,29609.25415892903,27906.748203836676,28951.274913031193,28993.440534948753,28725.892033371245,0.464,0.4387,0.3899,0.3399,0.3022,Palm oil,1 kg palm oil,6.7,3.1088000000000005,2.9392899999999997,2.61233,2.27733,2.0247400000000004
BRN,OILP,13738.433559755023,12242.499770863404,11288.388739490998,9853.875889257972,8680.277129187281,29609.25415892903,27906.748203836676,28951.274913031193,28993.440534948753,28725.892033371245,0.464,0.4387,0.3899,0.3399,0.3022,Magnesium stearate,1 kg magnesium stearate,6.7,3.1088000000000005,2.9392899999999997,2.61233,2.27733,2.0247400000000004
BRN,OILP,13738.433559755023,12242.499770863404,11288.388739490998,9853.875889257972,8680.277129187281,29609.25415892903,27906.748203836676,28951.274913031193,28993.440534948753,28725.892033371245,0.464,0.4387,0.3899,0.3399,0.3022,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,2.9232,2.76381,2.45637,2.1413699999999998,1.90386
BRN,OILP,13738.433559755023,12242.499770863404,11288.388739490998,9853.875889257972,8680.277129187281,29609.25415892903,27906.748203836676,28951.274913031193,28993.440534948753,28725.892033371245,0.464,0.4387,0.3899,0.3399,0.3022,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,2.8768000000000002,2.71994,2.41738,2.10738,1.8736400000000002
BRN,OILP,13738.433559755023,12242.499770863404,11288.388739490998,9853.875889257972,8680.277129187281,29609.25415892903,27906.748203836676,28951.274913031193,28993.440534948753,28725.892033371245,0.464,0.4387,0.3899,0.3399,0.3022,Palm kernel oil,1 kg palm kernel oil,6.6,3.0624,2.8954199999999997,2.57334,2.24334,1.99452
CAF,OILP,30725.56313995009,36227.77455437001,37131.761895455136,44465.14342040355,45209.756314528335,4950.268342738585,4897.911486403209,4883.876033795168,4924.103948925696,4907.724556225998,6.207,7.397,7.603,9.03,9.212,Palm oil,1 kg palm oil,6.7,41.5869,49.559900000000006,50.9401,60.501,61.7204
CAF,OILP,30725.56313995009,36227.77455437001,37131.761895455136,44465.14342040355,45209.756314528335,4950.268342738585,4897.911486403209,4883.876033795168,4924.103948925696,4907.724556225998,6.207,7.397,7.603,9.03,9.212,Magnesium stearate,1 kg magnesium stearate,6.7,41.5869,49.559900000000006,50.9401,60.501,61.7204
CAF,OILP,30725.56313995009,36227.77455437001,37131.761895455136,44465.14342040355,45209.756314528335,4950.268342738585,4897.911486403209,4883.876033795168,4924.103948925696,4907.724556225998,6.207,7.397,7.603,9.03,9.212,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,39.104099999999995,46.6011,47.8989,56.888999999999996,58.035599999999995
CAF,OILP,30725.56313995009,36227.77455437001,37131.761895455136,44465.14342040355,45209.756314528335,4950.268342738585,4897.911486403209,4883.876033795168,4924.103948925696,4907.724556225998,6.207,7.397,7.603,9.03,9.212,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,38.4834,45.8614,47.1386,55.986,57.1144
CAF,OILP,30725.56313995009,36227.77455437001,37131.761895455136,44465.14342040355,45209.756314528335,4950.268342738585,4897.911486403209,4883.876033795168,4924.103948925696,4907.724556225998,6.207,7.397,7.603,9.03,9.212,Palm kernel oil,1 kg palm kernel oil,6.6,40.96619999999999,48.8202,50.17979999999999,59.59799999999999,60.79919999999999
CHN,OILP,117156.59327006314,121030.29012019747,123850.42963332754,127649.14304852886,133411.8503567786,363864.6659048605,363552.2105816399,363631.2152068664,363710.2252720588,363649.79584933113,0.322,0.3329,0.3406,0.351,0.3669,Palm oil,1 kg palm oil,6.7,2.1574,2.2304299999999997,2.28202,2.3517,2.45823
CHN,OILP,117156.59327006314,121030.29012019747,123850.42963332754,127649.14304852886,133411.8503567786,363864.6659048605,363552.2105816399,363631.2152068664,363710.2252720588,363649.79584933113,0.322,0.3329,0.3406,0.351,0.3669,Magnesium stearate,1 kg magnesium stearate,6.7,2.1574,2.2304299999999997,2.28202,2.3517,2.45823
CHN,OILP,117156.59327006314,121030.29012019747,123850.42963332754,127649.14304852886,133411.8503567786,363864.6659048605,363552.2105816399,363631.2152068664,363710.2252720588,363649.79584933113,0.322,0.3329,0.3406,0.351,0.3669,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,2.0286,2.09727,2.1457800000000002,2.2112999999999996,2.31147
CHN,OILP,117156.59327006314,121030.29012019747,123850.42963332754,127649.14304852886,133411.8503567786,363864.6659048605,363552.2105816399,363631.2152068664,363710.2252720588,363649.79584933113,0.322,0.3329,0.3406,0.351,0.3669,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,1.9964000000000002,2.06398,2.11172,2.1762,2.2747800000000002
CHN,OILP,117156.59327006314,121030.29012019747,123850.42963332754,127649.14304852886,133411.8503567786,363864.6659048605,363552.2105816399,363631.2152068664,363710.2252720588,363649.79584933113,0.322,0.3329,0.3406,0.351,0.3669,Palm kernel oil,1 kg palm kernel oil,6.6,2.1252,2.1971399999999996,2.24796,2.3165999999999998,2.42154
CIV,OILP,5377372.303891074,5558790.400983354,5691099.446917564,5878328.280618194,5958430.1144684,2259614.3054058664,2259705.279415312,2259738.971426801,2259687.765259143,2259706.1234023604,2.38,2.46,2.518,2.601,2.637,Palm oil,1 kg palm oil,6.7,15.946,16.482,16.8706,17.4267,17.6679
CIV,OILP,5377372.303891074,5558790.400983354,5691099.446917564,5878328.280618194,5958430.1144684,2259614.3054058664,2259705.279415312,2259738.971426801,2259687.765259143,2259706.1234023604,2.38,2.46,2.518,2.601,2.637,Magnesium stearate,1 kg magnesium stearate,6.7,15.946,16.482,16.8706,17.4267,17.6679
CIV,OILP,5377372.303891074,5558790.400983354,5691099.446917564,5878328.280618194,5958430.1144684,2259614.3054058664,2259705.279415312,2259738.971426801,2259687.765259143,2259706.1234023604,2.38,2.46,2.518,2.601,2.637,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,14.994,15.498,15.863399999999999,16.3863,16.6131
CIV,OILP,5377372.303891074,5558790.400983354,5691099.446917564,5878328.280618194,5958430.1144684,2259614.3054058664,2259705.279415312,2259738.971426801,2259687.765259143,2259706.1234023604,2.38,2.46,2.518,2.601,2.637,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,14.756,15.252,15.6116,16.1262,16.3494
CIV,OILP,5377372.303891074,5558790.400983354,5691099.446917564,5878328.280618194,5958430.1144684,2259614.3054058664,2259705.279415312,2259738.971426801,2259687.765259143,2259706.1234023604,2.38,2.46,2.518,2.601,2.637,Palm kernel oil,1 kg palm kernel oil,6.6,15.707999999999998,16.236,16.618799999999997,17.1666,17.4042
CMR,OILP,297963.8214824697,264880.868727638,237235.73422733703,211166.12231339337,188487.32290365128,706213.8420296106,676754.5743608872,667006.5415623293,677977.952465507,674507.9466315743,0.4219,0.3914,0.3557,0.3115,0.2794,Palm oil,1 kg palm oil,6.7,2.82673,2.62238,2.3831900000000004,2.08705,1.87198
CMR,OILP,297963.8214824697,264880.868727638,237235.73422733703,211166.12231339337,188487.32290365128,706213.8420296106,676754.5743608872,667006.5415623293,677977.952465507,674507.9466315743,0.4219,0.3914,0.3557,0.3115,0.2794,Magnesium stearate,1 kg magnesium stearate,6.7,2.82673,2.62238,2.3831900000000004,2.08705,1.87198
CMR,OILP,297963.8214824697,264880.868727638,237235.73422733703,211166.12231339337,188487.32290365128,706213.8420296106,676754.5743608872,667006.5415623293,677977.952465507,674507.9466315743,0.4219,0.3914,0.3557,0.3115,0.2794,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,2.6579699999999997,2.46582,2.24091,1.96245,1.76022
CMR,OILP,297963.8214824697,264880.868727638,237235.73422733703,211166.12231339337,188487.32290365128,706213.8420296106,676754.5743608872,667006.5415623293,677977.952465507,674507.9466315743,0.4219,0.3914,0.3557,0.3115,0.2794,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,2.61578,2.42668,2.20534,1.9313,1.73228
CMR,OILP,297963.8214824697,264880.868727638,237235.73422733703,211166.12231339337,188487.32290365128,706213.8420296106,676754.5743608872,667006.5415623293,677977.952465507,674507.9466315743,0.4219,0.3914,0.3557,0.3115,0.2794,Palm kernel oil,1 kg palm kernel oil,6.6,2.78454,2.58324,2.34762,2.0559,1.8440399999999997
COD,OILP,14174748.074912298,14708159.057840273,15108382.82590207,15671881.932360591,16259332.556338362,1737402.489248628,1745693.1076422017,1782669.950571488,1813120.4411583317,1794822.685217124,8.159,8.425,8.475,8.644,9.059,Palm oil,1 kg palm oil,6.7,54.66530000000001,56.447500000000005,56.7825,57.9148,60.695299999999996
COD,OILP,14174748.074912298,14708159.057840273,15108382.82590207,15671881.932360591,16259332.556338362,1737402.489248628,1745693.1076422017,1782669.950571488,1813120.4411583317,1794822.685217124,8.159,8.425,8.475,8.644,9.059,Magnesium stearate,1 kg magnesium stearate,6.7,54.66530000000001,56.447500000000005,56.7825,57.9148,60.695299999999996
COD,OILP,14174748.074912298,14708159.057840273,15108382.82590207,15671881.932360591,16259332.556338362,1737402.489248628,1745693.1076422017,1782669.950571488,1813120.4411583317,1794822.685217124,8.159,8.425,8.475,8.644,9.059,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,51.401700000000005,53.0775,53.3925,54.4572,57.07169999999999
COD,OILP,14174748.074912298,14708159.057840273,15108382.82590207,15671881.932360591,16259332.556338362,1737402.489248628,1745693.1076422017,1782669.950571488,1813120.4411583317,1794822.685217124,8.159,8.425,8.475,8.644,9.059,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,50.585800000000006,52.23500000000001,52.545,53.592800000000004,56.1658
COD,OILP,14174748.074912298,14708159.057840273,15108382.82590207,15671881.932360591,16259332.556338362,1737402.489248628,1745693.1076422017,1782669.950571488,1813120.4411583317,1794822.685217124,8.159,8.425,8.475,8.644,9.059,Palm kernel oil,1 kg palm kernel oil,6.6,53.8494,55.605000000000004,55.934999999999995,57.050399999999996,59.78939999999999
COG,OILP,337225.64753296826,359503.20440772397,369080.8819210191,393487.751685799,414764.7502252555,90951.88010098354,90386.66507479116,90779.46653764944,91153.2340296436,90980.98115771948,3.708,3.977,4.066,4.317,4.559,Palm oil,1 kg palm oil,6.7,24.843600000000002,26.6459,27.2422,28.923900000000003,30.5453
COG,OILP,337225.64753296826,359503.20440772397,369080.8819210191,393487.751685799,414764.7502252555,90951.88010098354,90386.66507479116,90779.46653764944,91153.2340296436,90980.98115771948,3.708,3.977,4.066,4.317,4.559,Magnesium stearate,1 kg magnesium stearate,6.7,24.843600000000002,26.6459,27.2422,28.923900000000003,30.5453
COG,OILP,337225.64753296826,359503.20440772397,369080.8819210191,393487.751685799,414764.7502252555,90951.88010098354,90386.66507479116,90779.46653764944,91153.2340296436,90980.98115771948,3.708,3.977,4.066,4.317,4.559,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,23.360400000000002,25.0551,25.615799999999997,27.1971,28.7217
COG,OILP,337225.64753296826,359503.20440772397,369080.8819210191,393487.751685799,414764.7502252555,90951.88010098354,90386.66507479116,90779.46653764944,91153.2340296436,90980.98115771948,3.708,3.977,4.066,4.317,4.559,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,22.989600000000003,24.6574,25.2092,26.765400000000003,28.265800000000002
COG,OILP,337225.64753296826,359503.20440772397,369080.8819210191,393487.751685799,414764.7502252555,90951.88010098354,90386.66507479116,90779.46653764944,91153.2340296436,90980.98115771948,3.708,3.977,4.066,4.317,4.559,Palm kernel oil,1 kg palm kernel oil,6.6,24.4728,26.248199999999997,26.835599999999996,28.4922,30.089399999999998
COL,OILP,4594933.909792141,4857209.791070546,5107670.416258066,5293078.686506064,5504974.112538955,5417146.187626338,5954293.249490038,6058862.390601915,6279684.770654732,6129600.910284013,0.8482,0.8157,0.843,0.8429,0.8981,Palm oil,1 kg palm oil,6.7,5.682939999999999,5.46519,5.6481,5.64743,6.01727
COL,OILP,4594933.909792141,4857209.791070546,5107670.416258066,5293078.686506064,5504974.112538955,5417146.187626338,5954293.249490038,6058862.390601915,6279684.770654732,6129600.910284013,0.8482,0.8157,0.843,0.8429,0.8981,Magnesium stearate,1 kg magnesium stearate,6.7,5.682939999999999,5.46519,5.6481,5.64743,6.01727
COL,OILP,4594933.909792141,4857209.791070546,5107670.416258066,5293078.686506064,5504974.112538955,5417146.187626338,5954293.249490038,6058862.390601915,6279684.770654732,6129600.910284013,0.8482,0.8157,0.843,0.8429,0.8981,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,5.34366,5.13891,5.310899999999999,5.31027,5.65803
COL,OILP,4594933.909792141,4857209.791070546,5107670.416258066,5293078.686506064,5504974.112538955,5417146.187626338,5954293.249490038,6058862.390601915,6279684.770654732,6129600.910284013,0.8482,0.8157,0.843,0.8429,0.8981,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,5.25884,5.05734,5.2266,5.22598,5.56822
COL,OILP,4594933.909792141,4857209.791070546,5107670.416258066,5293078.686506064,5504974.112538955,5417146.187626338,5954293.249490038,6058862.390601915,6279684.770654732,6129600.910284013,0.8482,0.8157,0.843,0.8429,0.8981,Palm kernel oil,1 kg palm kernel oil,6.6,5.59812,5.38362,5.5638,5.56314,5.92746
CRI,OILP,742936.4093150945,742356.9585661895,748328.8372811965,746601.8758476798,728666.09597224975,961721.3349854512,981210.0764082012,1036196.437943592,1029433.8923879084,1028189.8541732264,0.7725,0.7566,0.7222,0.7253,0.7087,Palm oil,1 kg palm oil,6.7,5.17575,5.0692200000000005,4.83874,4.859509999999999,4.74829
CRI,OILP,742936.4093150945,742356.9585661895,748328.8372811965,746601.8758476798,728666.09597224975,961721.3349854512,981210.0764082012,1036196.437943592,1029433.8923879084,1028189.8541732264,0.7725,0.7566,0.7222,0.7253,0.7087,Magnesium stearate,1 kg magnesium stearate,6.7,5.17575,5.0692200000000005,4.83874,4.859509999999999,4.74829
CRI,OILP,742936.4093150945,742356.9585661895,748328.8372811965,746601.8758476798,728666.09597224975,961721.3349854512,981210.0764082012,1036196.437943592,1029433.8923879084,1028189.8541732264,0.7725,0.7566,0.7222,0.7253,0.7087,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,4.86675,4.76658,4.54986,4.569389999999999,4.46481
CRI,OILP,742936.4093150945,742356.9585661895,748328.8372811965,746601.8758476798,728666.09597224975,961721.3349854512,981210.0764082012,1036196.437943592,1029433.8923879084,1028189.8541732264,0.7725,0.7566,0.7222,0.7253,0.7087,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,4.7895,4.69092,4.47764,4.49686,4.39394
CRI,OILP,742936.4093150945,742356.9585661895,748328.8372811965,746601.8758476798,728666.09597224975,961721.3349854512,981210.0764082012,1036196.437943592,1029433.8923879084,1028189.8541732264,0.7725,0.7566,0.7222,0.7253,0.7087,Palm kernel oil,1 kg palm kernel oil,6.6,5.0985,4.9935600000000004,4.76652,4.78698,4.67742
DOM,OILP,61777.83467055792,61466.0282847667,60499.45008565408,63227.48770761545,62664.086942346534,227578.12463062484,238004.72564437875,248397.9112636652,258834.5384550405,252953.3455656532,0.2715,0.2583,0.2436,0.2443,0.2477,Palm oil,1 kg palm oil,6.7,1.8190500000000003,1.73061,1.63212,1.6368099999999999,1.6595900000000001
DOM,OILP,61777.83467055792,61466.0282847667,60499.45008565408,63227.48770761545,62664.086942346534,227578.12463062484,238004.72564437875,248397.9112636652,258834.5384550405,252953.3455656532,0.2715,0.2583,0.2436,0.2443,0.2477,Magnesium stearate,1 kg magnesium stearate,6.7,1.8190500000000003,1.73061,1.63212,1.6368099999999999,1.6595900000000001
DOM,OILP,61777.83467055792,61466.0282847667,60499.45008565408,63227.48770761545,62664.086942346534,227578.12463062484,238004.72564437875,248397.9112636652,258834.5384550405,252953.3455656532,0.2715,0.2583,0.2436,0.2443,0.2477,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,1.71045,1.6272899999999997,1.53468,1.5390899999999998,1.56051
DOM,OILP,61777.83467055792,61466.0282847667,60499.45008565408,63227.48770761545,62664.086942346534,227578.12463062484,238004.72564437875,248397.9112636652,258834.5384550405,252953.3455656532,0.2715,0.2583,0.2436,0.2443,0.2477,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,1.6833000000000002,1.6014599999999999,1.51032,1.51466,1.53574
